10	1000	1060084
20	1000	251625
50	1000	152583
100	1000	158791
500	1000	3365084
1000	1000	5399750
5000	1000	3907375
10	5000	861875
20	5000	761875
50	5000	669459
100	5000	589500
500	5000	426666
1000	5000	524708
5000	5000	16541292
10	10000	2566666
20	10000	2160709
50	10000	1908584
100	10000	1764042
500	10000	965708
1000	10000	977833
5000	10000	16098167
10	50000	4682459
20	50000	3770250
50	50000	2809250
100	50000	2335166
500	50000	1798708
1000	50000	1872375
5000	50000	9640792
10	100000	9428458
20	100000	7761542
50	100000	5611458
100	100000	5178250
500	100000	4907500
1000	100000	3960250
5000	100000	9614958
